,Learning rates,Number of leaf nodes,Number of trees,MSE
327,0.01,85.0,38.0,45592.86232497993
328,0.01,85.0,43.0,46536.45216246129
329,0.01,85.0,48.0,49538.797588645124
330,0.01,85.0,54.0,40824.11331408316
331,0.01,85.0,59.0,41043.47437428754
332,0.01,85.0,64.0,44917.58283981579
333,0.01,85.0,69.0,43294.81579361862
334,0.01,85.0,75.0,47094.736881990444
335,0.01,85.0,80.0,46012.107029529565
336,0.01,85.0,85.0,47002.67622398706
337,0.01,85.0,90.0,48913.5597074804
338,0.01,85.0,96.0,47834.46087798358
339,0.01,85.0,101.0,49180.00357772714
340,0.01,91.0,1.0,71302.67669209997
341,0.01,91.0,6.0,64388.37742372629
342,0.01,91.0,12.0,49446.3564823087
343,0.01,91.0,17.0,51766.80623270342
344,0.01,91.0,22.0,47999.462832341356
345,0.01,91.0,27.0,46944.450783929715
346,0.01,91.0,33.0,43295.14885250114
347,0.01,91.0,38.0,51033.14629263276
348,0.01,91.0,43.0,47028.40450461008
349,0.01,91.0,48.0,50127.254041892185
350,0.01,91.0,54.0,49955.883472551686
351,0.01,91.0,59.0,47431.4433689468
352,0.01,91.0,64.0,49149.91670499449
353,0.01,91.0,69.0,45993.841009882104
354,0.01,91.0,75.0,46037.42803980738
355,0.01,91.0,80.0,51453.92746069849
356,0.01,91.0,85.0,48575.15811995265
357,0.01,91.0,90.0,48607.958653537076
358,0.01,91.0,96.0,47294.09015926961
359,0.01,91.0,101.0,45355.77025419939
360,0.01,96.0,1.0,88335.80537342618
361,0.01,96.0,6.0,50541.75554598057
362,0.01,96.0,12.0,48285.13583510015
363,0.01,96.0,17.0,49013.35689977342
364,0.01,96.0,22.0,45496.91155761507
365,0.01,96.0,27.0,52762.65587638863
366,0.01,96.0,33.0,48407.58794026814
367,0.01,96.0,38.0,47633.84885845281
368,0.01,96.0,43.0,47525.81570428613
369,0.01,96.0,48.0,47443.030502580594
370,0.01,96.0,54.0,46451.18700273486
371,0.01,96.0,59.0,43088.57427080442
372,0.01,96.0,64.0,44947.54762596628
