,Learning rates,Number of leaf nodes,Number of trees,MSE
414,0.06736842105263158,2.0,75.0,429855.8970600838
415,0.06736842105263158,2.0,80.0,400748.30383017607
416,0.06736842105263158,2.0,85.0,393410.19465763826
417,0.06736842105263158,2.0,90.0,372040.17522973975
418,0.06736842105263158,2.0,96.0,352817.66723877453
419,0.06736842105263158,2.0,101.0,336114.37955358054
420,0.06736842105263158,7.0,1.0,1653835.1171857382
421,0.06736842105263158,7.0,6.0,1029352.3043831305
422,0.06736842105263158,7.0,12.0,604610.3704841487
423,0.06736842105263158,7.0,17.0,419370.0269119236
424,0.06736842105263158,7.0,22.0,300064.3917986244
425,0.06736842105263158,7.0,27.0,218788.1195029567
426,0.06736842105263158,7.0,33.0,160333.3104988995
427,0.06736842105263158,7.0,38.0,127103.99216147962
428,0.06736842105263158,7.0,43.0,102293.32566626341
429,0.06736842105263158,7.0,48.0,85624.51619542626
430,0.06736842105263158,7.0,54.0,70597.46490092376
431,0.06736842105263158,7.0,59.0,62299.17259897397
432,0.06736842105263158,7.0,64.0,55120.462261770845
433,0.06736842105263158,7.0,69.0,49320.33451612003
434,0.06736842105263158,7.0,75.0,44170.34875043796
435,0.06736842105263158,7.0,80.0,40706.72669470194
436,0.06736842105263158,7.0,85.0,37788.114559317386
437,0.06736842105263158,7.0,90.0,35549.262886116274
438,0.06736842105263158,7.0,96.0,32708.323685769323
439,0.06736842105263158,7.0,101.0,31183.608352015257
440,0.06736842105263158,12.0,1.0,1654178.2475098353
441,0.06736842105263158,12.0,6.0,1018575.63923669
442,0.06736842105263158,12.0,12.0,594696.7026448644
443,0.06736842105263158,12.0,17.0,407966.908697254
444,0.06736842105263158,12.0,22.0,288569.8894198442
445,0.06736842105263158,12.0,27.0,215685.03918598927
446,0.06736842105263158,12.0,33.0,158117.36811647518
447,0.06736842105263158,12.0,38.0,121711.76474919646
448,0.06736842105263158,12.0,43.0,97738.66473792374
449,0.06736842105263158,12.0,48.0,79947.33688501379
450,0.06736842105263158,12.0,54.0,65741.6524012567
451,0.06736842105263158,12.0,59.0,56994.73206688777
452,0.06736842105263158,12.0,64.0,50692.75208270837
453,0.06736842105263158,12.0,69.0,44765.00803369355
454,0.06736842105263158,12.0,75.0,40192.836346990756
455,0.06736842105263158,12.0,80.0,37031.16605617819
456,0.06736842105263158,12.0,85.0,35220.65695457758
457,0.06736842105263158,12.0,90.0,32636.017283310033
458,0.06736842105263158,12.0,96.0,30616.466424968585
459,0.06736842105263158,12.0,101.0,29283.7424812648
460,0.06736842105263158,18.0,1.0,1654178.2475098353
461,0.06736842105263158,18.0,6.0,1018575.63923669
462,0.06736842105263158,18.0,12.0,594696.7026448642
463,0.06736842105263158,18.0,17.0,407966.908697254
464,0.06736842105263158,18.0,22.0,288569.88941984414
465,0.06736842105263158,18.0,27.0,215685.03918598927
466,0.06736842105263158,18.0,33.0,158117.36811647515
467,0.06736842105263158,18.0,38.0,121711.76474919645
468,0.06736842105263158,18.0,43.0,97738.66473792378
469,0.06736842105263158,18.0,48.0,79947.33688501378
470,0.06736842105263158,18.0,54.0,65741.6524012567
471,0.06736842105263158,18.0,59.0,56994.732066887824
472,0.06736842105263158,18.0,64.0,50692.75208270838
473,0.06736842105263158,18.0,69.0,44765.00803369357
474,0.06736842105263158,18.0,75.0,40192.836346990734
475,0.06736842105263158,18.0,80.0,37031.166056178175
476,0.06736842105263158,18.0,85.0,35220.65695457757
477,0.06736842105263158,18.0,90.0,32636.01728331004
478,0.06736842105263158,18.0,96.0,30616.466424968577
479,0.06736842105263158,18.0,101.0,29283.742481264802
480,0.06736842105263158,23.0,1.0,1654178.2475098353
481,0.06736842105263158,23.0,6.0,1018575.6392366902
482,0.06736842105263158,23.0,12.0,594696.7026448644
483,0.06736842105263158,23.0,17.0,407966.9086972542
484,0.06736842105263158,23.0,22.0,288569.88941984414
485,0.06736842105263158,23.0,27.0,215685.0391859894
486,0.06736842105263158,23.0,33.0,158117.36811647515
487,0.06736842105263158,23.0,38.0,121711.76474919645
488,0.06736842105263158,23.0,43.0,97738.66473792377
489,0.06736842105263158,23.0,48.0,79947.33688501378
490,0.06736842105263158,23.0,54.0,65741.65240125668
491,0.06736842105263158,23.0,59.0,56994.73206688781
492,0.06736842105263158,23.0,64.0,50692.75208270833
493,0.06736842105263158,23.0,69.0,44765.00803369357
494,0.06736842105263158,23.0,75.0,40192.83634699074
495,0.06736842105263158,23.0,80.0,37031.16605617818
496,0.06736842105263158,23.0,85.0,35220.65695457758
497,0.06736842105263158,23.0,90.0,32636.017283310026
498,0.06736842105263158,23.0,96.0,30616.46642496859
499,0.06736842105263158,23.0,101.0,29283.7424812648
500,0.06736842105263158,28.0,1.0,1654178.2475098353
501,0.06736842105263158,28.0,6.0,1018575.63923669
502,0.06736842105263158,28.0,12.0,594696.7026448642
503,0.06736842105263158,28.0,17.0,407966.908697254
504,0.06736842105263158,28.0,22.0,288569.88941984426
505,0.06736842105263158,28.0,27.0,215685.03918598927
506,0.06736842105263158,28.0,33.0,158117.36811647515
507,0.06736842105263158,28.0,38.0,121711.76474919645
508,0.06736842105263158,28.0,43.0,97738.66473792378
509,0.06736842105263158,28.0,48.0,79947.33688501379
510,0.06736842105263158,28.0,54.0,65741.65240125664
511,0.06736842105263158,28.0,59.0,56994.732066887795
512,0.06736842105263158,28.0,64.0,50692.752082708386
513,0.06736842105263158,28.0,69.0,44765.00803369355
514,0.06736842105263158,28.0,75.0,40192.83634699075
515,0.06736842105263158,28.0,80.0,37031.16605617818
516,0.06736842105263158,28.0,85.0,35220.65695457756
517,0.06736842105263158,28.0,90.0,32636.01728331002
518,0.06736842105263158,28.0,96.0,30616.4664249686
519,0.06736842105263158,28.0,101.0,29283.74248126479
520,0.06736842105263158,33.0,1.0,1654178.2475098353
521,0.06736842105263158,33.0,6.0,1018575.63923669
522,0.06736842105263158,33.0,12.0,594696.7026448642
523,0.06736842105263158,33.0,17.0,407966.908697254
524,0.06736842105263158,33.0,22.0,288569.88941984426
525,0.06736842105263158,33.0,27.0,215685.0391859894
526,0.06736842105263158,33.0,33.0,158117.36811647523
527,0.06736842105263158,33.0,38.0,121711.76474919645
528,0.06736842105263158,33.0,43.0,97738.66473792371
529,0.06736842105263158,33.0,48.0,79947.33688501376
530,0.06736842105263158,33.0,54.0,65741.65240125671
531,0.06736842105263158,33.0,59.0,56994.732066887766
532,0.06736842105263158,33.0,64.0,50692.75208270836
533,0.06736842105263158,33.0,69.0,44765.00803369356
534,0.06736842105263158,33.0,75.0,40192.83634699075
535,0.06736842105263158,33.0,80.0,37031.16605617819
536,0.06736842105263158,33.0,85.0,35220.656954577564
537,0.06736842105263158,33.0,90.0,32636.01728331001
538,0.06736842105263158,33.0,96.0,30616.466424968592
539,0.06736842105263158,33.0,101.0,29283.742481264795
540,0.06736842105263158,38.0,1.0,1654178.2475098353
541,0.06736842105263158,38.0,6.0,1018575.63923669
542,0.06736842105263158,38.0,12.0,594696.7026448643
543,0.06736842105263158,38.0,17.0,407966.9086972542
544,0.06736842105263158,38.0,22.0,288569.88941984426
545,0.06736842105263158,38.0,27.0,215685.03918598927
546,0.06736842105263158,38.0,33.0,158117.36811647523
547,0.06736842105263158,38.0,38.0,121711.76474919643
548,0.06736842105263158,38.0,43.0,97738.6647379238
549,0.06736842105263158,38.0,48.0,79947.33688501376
550,0.06736842105263158,38.0,54.0,65741.65240125671
551,0.06736842105263158,38.0,59.0,56994.73206688781
552,0.06736842105263158,38.0,64.0,50692.75208270834
553,0.06736842105263158,38.0,69.0,44765.00803369356
554,0.06736842105263158,38.0,75.0,40192.83634699078
555,0.06736842105263158,38.0,80.0,37031.16605617818
556,0.06736842105263158,38.0,85.0,35220.65695457759
557,0.06736842105263158,38.0,90.0,32636.017283310033
558,0.06736842105263158,38.0,96.0,30616.466424968596
559,0.06736842105263158,38.0,101.0,29283.74248126479
560,0.06736842105263158,44.0,1.0,1654178.2475098353
561,0.06736842105263158,44.0,6.0,1018575.6392366902
562,0.06736842105263158,44.0,12.0,594696.7026448644
563,0.06736842105263158,44.0,17.0,407966.9086972542
564,0.06736842105263158,44.0,22.0,288569.8894198442
565,0.06736842105263158,44.0,27.0,215685.03918598927
566,0.06736842105263158,44.0,33.0,158117.36811647523
567,0.06736842105263158,44.0,38.0,121711.76474919633
568,0.06736842105263158,44.0,43.0,97738.6647379238
569,0.06736842105263158,44.0,48.0,79947.33688501379
570,0.06736842105263158,44.0,54.0,65741.6524012567
571,0.06736842105263158,44.0,59.0,56994.73206688781
572,0.06736842105263158,44.0,64.0,50692.75208270837
573,0.06736842105263158,44.0,69.0,44765.00803369358
574,0.06736842105263158,44.0,75.0,40192.83634699074
575,0.06736842105263158,44.0,80.0,37031.16605617819
576,0.06736842105263158,44.0,85.0,35220.65695457758
577,0.06736842105263158,44.0,90.0,32636.017283310033
578,0.06736842105263158,44.0,96.0,30616.466424968603
579,0.06736842105263158,44.0,101.0,29283.74248126479
580,0.06736842105263158,49.0,1.0,1654178.2475098353
581,0.06736842105263158,49.0,6.0,1018575.63923669
582,0.06736842105263158,49.0,12.0,594696.7026448642
583,0.06736842105263158,49.0,17.0,407966.90869725414
